Time, y, x, Angle, D, BelowCut, Away
11, 124, 126, 90.000000, 0.007348,  0, 1 
11, 125, 126, -90.000000, 0.001762,  0, 0 
11, 126, 126, -90.000000, 0.006097,  0, 0 
11, 127, 126, -90.000000, 0.007832,  0, 0 
11, 128, 126, -90.000000, 0.010010,  0, 0 
11, 129, 126, -90.000000, 0.012559,  0, 0 
11, 130, 126, -90.000000, 0.016407,  0, 0 
11, 131, 126, -90.000000, 0.020969,  0, 0 
11, 132, 126, -90.000000, 0.024104,  0, 0 
11, 133, 126, -90.000000, 0.032344,  0, 0 
11, 134, 126, -90.000000, 0.040190,  0, 0 
11, 135, 126, -90.000000, 0.042665,  0, 0 
11, 136, 126, -90.000000, 0.042469,  0, 0 
11, 137, 126, -90.000000, 0.035516,  0, 0 
11, 138, 126, -90.000000, 0.014330,  0, 0 
11, 139, 126, 90.000000, 0.005274,  0, 1 
11, 140, 126, 90.000000, 0.010140,  0, 1 
11, 141, 126, 90.000000, 0.007533,  0, 1 
11, 142, 126, 90.000000, 0.002335,  0, 1 
11, 143, 126, -90.000000, 0.003643,  0, 0 
11, 144, 126, -90.000000, 0.008452,  0, 0 
11, 145, 126, -90.000000, 0.010754,  0, 0 
11, 146, 126, -90.000000, 0.011469,  0, 0 
11, 147, 126, -90.000000, 0.012082,  0, 0 
11, 148, 126, -90.000000, 0.015997,  0, 0 
11, 149, 126, -90.000000, 0.021496,  0, 0 
11, 150, 126, -90.000000, 0.025105,  0, 0 
11, 151, 126, -90.000000, 0.030004,  0, 0 
11, 152, 126, -90.000000, 0.034769,  0, 0 
11, 153, 126, -90.000000, 0.033131,  0, 0 
11, 154, 126, -90.000000, 0.027442,  0, 0 
11, 155, 126, -90.000000, 0.021333,  0, 0 
11, 156, 126, -90.000000, 0.014932,  0, 0 
11, 157, 126, -90.000000, 0.005771,  0, 0 
11, 158, 126, 90.000000, 0.005674,  0, 1 
11, 159, 126, 90.000000, 0.023836,  0, 1 
11, 160, 126, 90.000000, 0.053012,  0, 1 
11, 161, 126, 90.000000, 0.079457,  0, 1 
11, 162, 126, 90.000000, 0.084277,  0, 1 
11, 163, 126, 90.000000, 0.078308,  0, 1 
11, 164, 126, 90.000000, 0.072924,  0, 1 
11, 165, 126, 90.000000, 0.064361,  0, 1 
11, 166, 126, 90.000000, 0.053769,  0, 1 
11, 167, 126, 90.000000, 0.046521,  0, 1 
11, 168, 126, 90.000000, 0.041236,  0, 1 
11, 169, 126, 90.000000, 0.034111,  0, 1 
11, 170, 126, 90.000000, 0.022749,  0, 1 
11, 171, 126, 90.000000, 0.009169,  0, 1 
11, 123, 127, 90.000000, 0.016108,  0, 1 
11, 124, 127, 90.000000, 0.010177,  0, 1 
11, 125, 127, 90.000000, 0.000618,  0, 1 
11, 126, 127, -90.000000, 0.004609,  0, 0 
11, 127, 127, -90.000000, 0.006252,  0, 0 
